파바, 78, 155
파하, 82, 194
다마, 45, 194
차하, 74, 181
하바, 40, 150
나자, 78, 183
라파, 54, 195
마다, 89, 172
사아, 87, 176
바다, 64, 182
카타, 87, 162
라가, 67, 180
아나, 48, 161
나파, 79, 167
바차, 66, 199
나다, 47, 188
자라, 55, 171
타라, 52, 157
마라, 56, 162
아자, 47, 182
바차, 42, 177
바마, 68, 165
자라, 69, 155
아파, 97, 171
자나, 74, 185
다아, 86, 148
마타, 77, 181
타마, 56, 150
카나, 88, 169
마바, 91, 156
다타, 51, 189
다사, 54, 175
마다, 57, 150
사마, 48, 169
나다, 45, 191
나가, 94, 164
나타, 94, 184
타마, 59, 151
마타, 90, 150
카자, 92, 175
사자, 47, 172
마차, 95, 182
가아, 41, 145
파타, 92, 147
하차, 71, 180
하가, 63, 151
카사, 87, 185
차라, 41, 179
카카, 72, 162
차차, 84, 162
타파, 80, 195
라하, 74, 165
차가, 47, 195
나아, 66, 148
자차, 81, 153
아라, 87, 141
마마, 47, 174
아하, 41, 188
파나, 46, 158
타라, 87, 176
파가, 97, 193
나바, 82, 172
파마, 49, 151
타사, 74, 181
자마, 98, 160
차하, 65, 165
바나, 85, 184
가차, 89, 174
차나, 81, 187
아차, 50, 164
파하, 94, 174
파카, 79, 160
마가, 56, 186
라사, 86, 157
타라, 69, 141
타다, 49, 174
차바, 93, 182
차차, 59, 157
사카, 47, 193
나자, 88, 145
하다, 58, 174
자가, 40, 140
라나, 44, 171
차파, 81, 143
라차, 96, 172
사가, 58, 169
다차, 42, 152
마자, 53, 178
타하, 86, 154
카나, 45, 146
카자, 76, 192
바카, 97, 141
나카, 57, 189
가라, 92, 165
나차, 51, 174
카가, 98, 196
하다, 52, 155
파나, 40, 159
파파, 62, 165
파자, 62, 186
카아, 86, 148
사카, 51, 185
하바, 93, 143
타타, 67, 155
바파, 99, 197
라나, 71, 189
차나, 83, 176
차차, 53, 164
가타, 50, 161
바마, 84, 147
카차, 45, 159
가하, 56, 173
카자, 52, 189
가타, 96, 147
하사, 73, 171
자다, 40, 192
나바, 45, 161
라사, 98, 178
차아, 66, 188
자파, 54, 149
다라, 59, 173
파카, 51, 175
마아, 52, 191
가타, 84, 198
자타, 82, 187
자카, 98, 180
나자, 64, 169
타하, 86, 144
마마, 42, 163
바나, 49, 192
차타, 81, 184
타차, 81, 188
차사, 96, 175
파차, 62, 173
가파, 88, 148
카하, 99, 192
카사, 54, 154
차자, 79, 161
하파, 43, 174
마다, 96, 176
바마, 68, 186
가자, 74, 176
타타, 84, 199
가자, 76, 197
마아, 68, 186
차마, 64, 154
자파, 91, 177
타타, 78, 180
라카, 92, 186
마타, 97, 182
자사, 94, 164
타차, 48, 183
가차, 68, 145
다사, 76, 196
라나, 55, 156
라자, 91, 187
가카, 72, 198
카차, 92, 163
카자, 44, 195
다하, 60, 153
마바, 84, 163
마가, 41, 177
바마, 98, 158
가다, 85, 192
바아, 78, 191
파마, 98, 155
라아, 42, 155
파라, 49, 162
타차, 79, 173
아라, 60, 146
가타, 45, 176
나타, 79, 176
카타, 68, 177
가사, 84, 168
자파, 95, 171
타다, 97, 163
나가, 81, 192
다라, 76, 173
바자, 93, 157
자다, 53, 188
아다, 80, 177
사바, 70, 149
사카, 48, 182
자하, 86, 198
사가, 59, 167
파차, 93, 159
타하, 91, 163
가나, 70, 161
하나, 75, 150
자사, 90, 169
나바, 54, 159
다타, 73, 192
파바, 48, 191
타다, 85, 180
사라, 92, 143
다바, 45, 180
아자, 65, 184
카파, 48, 191
사자, 85, 179
사파, 51, 172
사다, 80, 166
카바, 63, 192
라사, 51, 157
바아, 98, 179
타자, 92, 170
자차, 59, 158
타하, 56, 153
파가, 89, 190
가마, 83, 191
마나, 53, 183
라하, 76, 154
카파, 91, 158
라카, 54, 197
차가, 88, 197
마나, 75, 146
나바, 71, 189
가하, 55, 198
파하, 94, 163
차타, 65, 185
자아, 47, 172
타하, 69, 186
라하, 48, 170
차다, 73, 192
하사, 99, 151
파다, 77, 198
하라, 74, 162
라카, 76, 180
카가, 94, 150
카차, 72, 140
바라, 51, 155
파나, 93, 186
라마, 63, 155
다사, 83, 148
가파, 69, 186
하사, 82, 158
차라, 66, 146
사다, 64, 141
가바, 84, 151
다타, 75, 194
차하, 47, 165
다가, 77, 187
타바, 64, 154
아파, 52, 150
아사, 88, 140
카아, 82, 197
라차, 80, 156
라가, 55, 197
파가, 57, 158
바다, 96, 153
나다, 49, 165
마라, 43, 185
사하, 87, 168
사차, 94, 199
차다, 46, 159
가다, 40, 160
라타, 86, 143
사라, 87, 172
아자, 48, 166
사다, 41, 191
마라, 70, 188
사바, 48, 161
바카, 53, 166
바카, 73, 183
타마, 81, 180
라타, 77, 153
사자, 74, 195
타아, 40, 163
파사, 58, 154
마바, 97, 180
마라, 66, 159
하자, 72, 144
하타, 88, 140
사마, 55, 150
하바, 56, 164
마다, 60, 180
라자, 90, 151
라라, 67, 142
차나, 79, 152
파다, 44, 168
라파, 40, 148
카아, 76, 167
카타, 61, 184
나마, 59, 176
바라, 88, 149
사아, 95, 167
라다, 44, 197
바사, 52, 196
카바, 65, 192
하마, 93, 193
바아, 46, 198
바파, 44, 179
파가, 64, 141
바하, 79, 164
아가, 66, 192
사타, 58, 179
다차, 77, 168
파하, 62, 180
파바, 86, 141
사아, 40, 147
하다, 42, 145
다마, 99, 181
다타, 83, 166
라아, 64, 192
카차, 54, 160
아자, 43, 190
하파, 89, 175
가바, 88, 187
카타, 65, 164
카카, 46, 153
다아, 43, 179
나카, 81, 166
자바, 87, 161
나아, 82, 171
마마, 45, 167
다차, 95, 176
타아, 51, 173
차사, 87, 188
파가, 41, 163
아사, 96, 188
라나, 98, 198
바파, 65, 152
카마, 94, 179
자가, 84, 190
카가, 59, 153
차아, 62, 164
사라, 45, 195
파바, 94, 159
카타, 48, 187
카타, 76, 158
아가, 72, 196
자라, 62, 147
차사, 64, 182
사카, 63, 189
마나, 65, 140
차다, 92, 167
사나, 53, 189
카사, 75, 161
다바, 70, 189
다사, 89, 194
마파, 41, 140
사타, 82, 195
바하, 56, 191
마나, 71, 177
바라, 74, 159
바자, 63, 142
사자, 60, 178
카타, 73, 191
가바, 89, 160
마카, 40, 149
타다, 45, 150
마가, 73, 182
나하, 75, 199
가파, 78, 195
바다, 62, 152
라차, 80, 177
타다, 98, 168
라파, 94, 144
다타, 84, 180
사다, 55, 166
파라, 60, 162
파차, 47, 196
자라, 95, 148
라파, 94, 179
사카, 41, 153
가다, 85, 187
바라, 63, 161
사타, 71, 162
사파, 67, 199
다카, 91, 181
파파, 89, 148
가나, 40, 182
자자, 97, 156
바파, 91, 174
가파, 74, 164
타라, 91, 155
자타, 77, 160
타라, 43, 146
마하, 58, 185
나라, 89, 141
차사, 70, 199
타타, 68, 143
다자, 89, 186
가하, 74, 149
라바, 85, 141
다카, 48, 186
타카, 96, 158
마마, 51, 187
바마, 71, 190
카마, 70, 162
사아, 41, 142
가마, 50, 155
바차, 93, 156
바사, 65, 141
자다, 73, 147
파자, 61, 148
바다, 87, 194
사차, 85, 149
카자, 53, 154
라차, 64, 150
바바, 56, 146
카자, 98, 191
다다, 43, 159
아바, 54, 171
아라, 49, 183
마차, 79, 169
사타, 88, 150
나다, 74, 185
차카, 85, 188
바파, 92, 147
하카, 64, 153
라라, 89, 194
사다, 74, 187
나차, 49, 179
가타, 79, 140
하파, 90, 164
라파, 62, 147
다파, 74, 171
하나, 41, 185
아가, 75, 143
하아, 82, 140
카파, 69, 180
가다, 41, 166
사바, 75, 143
자자, 90, 152
타타, 87, 151
가파, 81, 172
아아, 75, 169
차나, 92, 197
바차, 60, 184
다아, 66, 147
다아, 54, 163
파아, 88, 164
자다, 52, 172
바가, 61, 187
아바, 85, 185
다마, 67, 184
나가, 50, 160
사라, 95, 170
타나, 76, 190
다자, 66, 161
라하, 94, 171
타다, 77, 174
아차, 41, 189
가파, 43, 150
바하, 72, 169
차타, 76, 169
아아, 61, 167
자자, 40, 191
다하, 68, 175
파마, 44, 145
바아, 75, 142
타다, 74, 170
가다, 92, 173
하다, 42, 160
마하, 53, 194
라사, 46, 177
타자, 42, 160
나하, 55, 172
아차, 44, 177
다타, 41, 153
아파, 44, 153
